Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1995","1995","1000 ha","4197241.4723","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1996","1996","1000 ha","4189403.0823","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1997","1997","1000 ha","4181564.6923","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1998","1998","1000 ha","4173726.3022","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1999","1999","1000 ha","4165887.9122","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2000","2000","1000 ha","4158049.5222","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2001","2001","1000 ha","4152876.2644","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2002","2002","1000 ha","4147703.0066","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2003","2003","1000 ha","4142529.7488","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2004","2004","1000 ha","4137356.4909","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2005","2005","1000 ha","4132183.2331","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2006","2006","1000 ha","4127009.9753","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2007","2007","1000 ha","4121836.7175","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2008","2008","1000 ha","4116663.4597","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2009","2009","1000 ha","4111490.2019","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2010","2010","1000 ha","4106316.944","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2011","2011","1000 ha","4101827.0504","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2012","2012","1000 ha","4097337.1568","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2013","2013","1000 ha","4092847.2632","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2014","2014","1000 ha","4088357.3696","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2015","2015","1000 ha","4083867.4759","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2016","2016","1000 ha","4080603.5422","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2017","2017","1000 ha","4073757.1845","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2018","2018","1000 ha","4068923.2742","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","2019","2019","1000 ha","4063843.08","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1961","1961","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1962","1962","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1963","1963","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1964","1964","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1965","1965","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1966","1966","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1967","1967","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1968","1968","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1969","1969","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1970","1970","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1971","1971","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1972","1972","1000 ha","2964906.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1973","1973","1000 ha","2964902.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1974","1974","1000 ha","2964862.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1975","1975","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1976","1976","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1977","1977","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1978","1978","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1979","1979","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1980","1980","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
